"","x"
"1220",1006003
"1221",995978
"1222",1012111
"1223",1017239
"1224",1020935
"1225",1015289
"1226",1006414
"1227",995463
"1228",1012969
"1229",1017935
"1230",1021264
"1231",1015969
"1232",1006877
"1233",995525
"1234",1011371
"1235",1018390
"1236",1023132
"1237",1017984
"1238",1008151
"1239",1001737
"1240",1018380
"1241",1021094
"1242",1025319
"1243",1019367
"1244",1007554
"1245",1001785
"1246",1018305
"1247",1020567
"1248",1026388
"1249",1020126
"1250",1007254
"1251",1002077
"1252",1017990
"1253",1022989
"1254",1028624
"1255",1022322
"1256",1010201
"1257",1009388
"1258",1024637
"1259",1026485
"1260",1030209
"1261",1023862
"1262",1009854
"1263",1008539
"1264",1023528
"1265",1027473
"1266",1031094
"1267",1023240
"1268",1010728
"1269",1009760
"1270",1023353
"1271",1029390
"1272",1032978
"1273",1026170
"1274",1013859
"1275",1017468
"1276",1029610
"1277",1032619
"1278",1035361
"1279",1027862
"1280",1013375
"1281",1017974
"1282",1030515
"1283",1034203
"1284",1033409
"1285",1028749
"1286",1014600
"1287",1016087
"1288",1028496
"1289",1035843
"1290",1035611
"1291",1028238
"1292",1017294
"1293",1023769
"1294",1033758
"1295",1039571
"1296",1037740
"1297",1029212
"1298",1016848
"1299",1023664
"1300",1034649
"1301",1039857
"1302",1038802
"1303",1030730
"1304",1016577
"1305",1023973
"1306",1035106
"1307",1040772
"1308",1041235
"1309",1033095
"1310",1019447
"1311",1033335
"1312",1039982
"1313",1045133
"1314",1042729
"1315",1034107
"1316",1019511
"1317",1033674
"1318",1040945
"1319",1045473
"1320",1044326
"1321",1033910
"1322",1020642
"1323",1032832
"1324",1040351
"1325",1047490
"1326",1046569
"1327",1035973
"1328",1024446
"1329",1042267
"1330",1045306
"1331",1050470
"1332",1047462
"1333",1035882
"1334",1023064
"1335",1042401
"1336",1045173
"1337",1051094
"1338",1048908
"1339",1036568
"1340",1025334
"1341",1037536
"1342",1047249
"1343",1053659
"1344",1047718
"1345",1039249
"1346",1030726
"1347",1046114
"1348",1051219
"1349",1055866
"1350",1048530
"1351",1038088
"1352",1029767
"1353",1046629
"1354",1050950
"1355",1056770
"1356",1050352
"1357",1038837
"1358",1031320
"1359",1045850
"1360",1052968
"1361",1057005
"1362",1052752
"1363",1041494
"1364",1037551
"1365",1053814
"1366",1056998
"1367",1060039
"1368",1053504
"1369",1040463
"1370",1037885
"1371",1053955
"1372",1058240
"1373",1061768
"1374",1055649
"1375",1042137
"1376",1039328
"1377",1054329
"1378",1059162
"1379",1064035
"1380",1058027
"1381",1043316
"1382",1047682
"1383",1061348
